Term,Definition,Mnemo,Example
Action,"A proposed change you can do now. UF judges actions only, not persons.",—,Share notes with consent vs. post without permission.
Baseline,What happens if we do nothing or keep the current plan. All comparisons use this.,—,No message sent vs. send a message.
Harm (H),"Expected downside from an action, scaled to stakes. Smaller is safer.",H,Lower infection risk vs. baseline after washing hands.
ReliefIndex (RI),Improvement vs. baseline harm. Nonnegative means no worse than baseline.,RI,Baseline harm 0.30 → action harm 0.24 ⇒ RI = 0.20.
Right (direction),A step that improves vs. baseline and passes all caps/gates (↑).,RI + gates,Offer reversible help with consent and fairness checked.
Wrong (direction),A step that degrades vs. baseline or fails any cap/gate (↓).,RI + gates,Share someone’s data without consent even if helpful.
Good* (limit),Ideal endpoint: expected harm ≈ 0 and all caps/gates pass (A → 1).,AlignedLimit,Not a claim about today; it’s a north star.
Evil (limit),Endpoint of persistent misalignment/red‑line failures (M → 1).,CollapseLimit,Not a label for people; a limit of actions.
Harm Cap (HC),Maximum allowed harm by stakes (high/med/low).,HCxx,"HC01: high‑stakes cap ≈ 0.01; med=5×, low=10×."
Consent (C),Permission threshold for serious effects.,Cτ,C80: require ≥ 0.80 consent.
Fairness (F),Bound disparities across groups. Lower is fairer.,Fxx,F05: disparity cap set to 0.05 units (tight).
Evidence Gap (EG),Mismatch between claims and evidence. Keep small.,EGxx,EG05: claim–evidence cap set to 0.05.
Bias (B),Systematic tilt that distorts decisions. Keep within cap.,B,Independent review reduces bias.
Opacity (O),Lack of reasons or transparency. Keep low; explain choices.,O,Two bullet reasons for every decision.
Reversibility (RV),How easily we can undo or repair. Prefer higher RV.,RV,Try a pilot before full rollout.
Agency (AG),Preserve the person’s capacity to choose and act.,AG,"Offer options, don’t force outcomes."
Causal Admissibility (CA),Action respects allowed cause‑and‑effect structure.,CA,No manipulative hidden loops.
Viable Potential (Φ),Set of states kept reachable by gate‑passing steps.,PHI,Do not shrink future options with today’s choice.
Profiles,Declared caps/thresholds for a community or context.,—,Neutral_SMM or community profile.
A=B (Translation Principle),Different words are fine if gates/endpoints/order are preserved. Verdicts match.,—,Light/Good/Truth/Actualized ↔ Aligned limit.
Lexicode,Prefix‑free word for tokens + params + checksum bound to definition.,RI-HC-C-F-EG-B-O-RV-AG-CA-PHI # csum,RI-HC01-C80-F05-EG05-B-O-RV-PHI # 86602E
Resonance Marker (R‑marker),A personal sign that encourages. Logged as note; never changes gates.,note,Version number felt meaningful.
I‑Mode / E‑Mode / W‑Mode,Head; Heart; Wisdom (integrated). Use W‑Mode to commit a reversible Right step.,RI‑EG‑B‑O / RI‑HC‑C‑F / full stack,"Write I→E→W paragraphs, then act."
Large Experience Model (LEM),"You are a model. Curate inputs, keep gates on, choose better‑than‑baseline steps.",RI‑HC‑C‑F‑EG‑B‑O‑RV‑AG,Mute one noisy source; add one high‑signal source.
